ID,Title,Award Category,Platform,Status,Expected Filename,File Size,File Path,URL
57,THE COUNT – SICKKIDS FOUNDATION (FCB TORONTO),Grand Prix,YOUTUBE,Downloaded,ad_057.mp4,27.3 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_057.mp4,https://www.youtube.com/watch?v=qNF34ZROR8s
58,THE EVERYDAY TACTICIAN – XBOX (MCCANN LONDON),Grand Prix,YOUTUBE,Downloaded,ad_058.mp4,14.0 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_058.mp4,https://www.youtube.com/watch?v=elq83mERXv0
59,THE HIDDEN EYE TEST – 1001 OPTOMETRY (VML SYDNEY),Grand Prix,VIMEO,Downloaded,ad_059.mp4,19.9 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_059.mp4,https://vimeo.com/1077848029
60,THE KIMBERLY PRICE – PLAZA VEA (FAHRENHEIT DDB LIMA),Grand Prix,YOUTUBE,Downloaded,ad_060.mp4,46.4 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_060.mp4,https://www.youtube.com/watch?v=pPAGka7S4_o
61,THE MISHEARD VERSION – SPECSAVERS (GOLIN LONDON),Grand Prix,YOUTUBE,Not Downloaded,ad_061.mp4,-,-,https://www.youtube.com/watch?v=EgNb0LQxm84&t=1s
62,THE REWARDS BAG – TATA (VML MONTEVIDEO),Grand Prix,YOUTUBE,Not Downloaded,ad_062.mp4,-,-,https://www.youtube.com/watch?v=RzJQ1TVItHI
63,THE SECOND RELEASE – BILLBOARD ARABIA (SRMG LABS RIYADH),Grand Prix,YOUTUBE,Downloaded,ad_063.mp4,26.4 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_063.mp4,https://www.youtube.com/watch?v=sH5Jk7ywBLc
64,TIDE COLLATERAL STAIN STORIES – TIDE (SAATCHI & SAATCHI NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_064.mp4,-,-,https://vimeo.com/1078053795
65,TREE CORRESPONDENTS – HYUNDAI (FCB NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_065.mp4,-,-,https://vimeo.com/1092193263
66,UN.PATENT – RENAULT (PUBLICIS CONSEIL PARIS),Grand Prix,YOUTUBE,Not Downloaded,ad_066.mp4,-,-,https://www.youtube.com/watch?v=qVfIMMF1CEo
67,WINTER TAKES ON COLORS – MCDONALD’S (DDB WARSAW),Grand Prix,YOUTUBE,Not Downloaded,ad_067.mp4,-,-,https://www.youtube.com/watch?v=qcSHtBgAB6o
68,‘TIL I DIED – BRITISH HEART FOUNDATION (SAATCHI & SAATCHI LONDON),Grand Prix,VIMEO,Not Downloaded,ad_068.mp4,-,-,https://vimeo.com/1060884961
69,#SHARETHELOAD 10 YEARS – PROCTER & GAMBLE (BBDO INDIA MUMBAI),Grand Prix,VIMEO,Not Downloaded,ad_069.mp4,-,-,https://vimeo.com/1090625805
70,100 YEARS OF MEISTERSTÜCK – MONTBLANC INTERNATIONAL GMBH (SOLOMON WINTER HAMBURG),Grand Prix,YOUTUBE,Not Downloaded,ad_070.mp4,-,-,https://www.youtube.com/watch?v=tUSRyAha37w
